level,category_id,alias_ids,l1_id,l1_slug,l1_name,slug,full_name,short_name,display_group,url,listing_count,facet_value_count,seo_facet_pages,name_part_1,name_part_2,name_part_3
1,1,,1,antiek-en-kunst,Antiek en Kunst,antiek-en-kunst,Antiek en Kunst,,,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/,,0,0,Antiek en Kunst,,
2,2,,1,antiek-en-kunst,Antiek en Kunst,antiek-bestek,Antiek | Bestek,Bestek,Antiek | Eetgerei,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-bestek/,14313,0,0,Antiek,Bestek,
2,3,,1,antiek-en-kunst,Antiek en Kunst,antiek-boeken-en-bijbels,Antiek | Boeken en Bijbels,Boeken en Bijbels,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-boeken-en-bijbels/,14618,0,0,Antiek,Boeken en Bijbels,
2,1100,,1,antiek-en-kunst,Antiek en Kunst,antiek-emaille,Antiek | Emaille,Emaille,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-emaille/,9345,0,0,Antiek,Emaille,
2,1501,,1,antiek-en-kunst,Antiek en Kunst,antiek-gereedschap-en-instrumenten,Antiek | Gereedschap en Instrumenten,Gereedschap en Instrumenten,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-gereedschap-en-instrumenten/,10296,0,0,Antiek,Gereedschap en Instrumenten,
2,1648,,1,antiek-en-kunst,Antiek en Kunst,antiek-glas-en-kristal,Antiek | Glas en Kristal,Glas en Kristal,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-glas-en-kristal/,30396,0,0,Antiek,Glas en Kristal,
2,2614,,1,antiek-en-kunst,Antiek en Kunst,antiek-goud-en-zilver,Antiek | Goud en Zilver,Goud en Zilver,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-goud-en-zilver/,9335,0,0,Antiek,Goud en Zilver,
2,2661,,1,antiek-en-kunst,Antiek en Kunst,antiek-kandelaars,Antiek | Kandelaars,Kandelaars,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-kandelaars/,7673,0,0,Antiek,Kandelaars,
2,1841,,1,antiek-en-kunst,Antiek en Kunst,antiek-kantoor-en-zakelijk,Antiek | Kantoor en Zakelijk,Kantoor en Zakelijk,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-kantoor-en-zakelijk/,3274,0,0,Antiek,Kantoor en Zakelijk,
2,1502,,1,antiek-en-kunst,Antiek en Kunst,antiek-keramiek-en-aardewerk,Antiek | Keramiek en Aardewerk,Keramiek en Aardewerk,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-keramiek-en-aardewerk/,26878,0,0,Antiek,Keramiek en Aardewerk,
2,1842,,1,antiek-en-kunst,Antiek en Kunst,antiek-keukenbenodigdheden,Antiek | Keukenbenodigdheden,Keukenbenodigdheden,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-keukenbenodigdheden/,8451,0,0,Antiek,Keukenbenodigdheden,
2,2118,,1,antiek-en-kunst,Antiek en Kunst,antiek-kleden-en-textiel,Antiek | Kleden en Textiel,Kleden en Textiel,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-kleden-en-textiel/,4247,0,0,Antiek,Kleden en Textiel,
2,1503,,1,antiek-en-kunst,Antiek en Kunst,antiek-kleding-en-accessoires,Antiek | Kleding en Accessoires,Kleding en Accessoires,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-kleding-en-accessoires/,2581,0,0,Antiek,Kleding en Accessoires,
2,6,,1,antiek-en-kunst,Antiek en Kunst,antiek-klokken,Antiek | Klokken,Klokken,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-klokken/,14036,0,0,Antiek,Klokken,
2,1647,,1,antiek-en-kunst,Antiek en Kunst,antiek-koper-en-brons,Antiek | Koper en Brons,Koper en Brons,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-koper-en-brons/,14735,0,0,Antiek,Koper en Brons,
2,7,,1,antiek-en-kunst,Antiek en Kunst,antiek-lampen,Antiek | Lampen,Lampen,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-lampen/,17080,0,0,Antiek,Lampen,
2,1504,,1,antiek-en-kunst,Antiek en Kunst,antiek-meubels-bedden,Antiek | Meubels | Bedden,Bedden,Antiek | Meubels,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-meubels-bedden/,1154,0,0,Antiek,Meubels,Bedden
2,5,,1,antiek-en-kunst,Antiek en Kunst,antiek-meubels-kasten,Antiek | Meubels | Kasten,Kasten,Antiek | Meubels,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-meubels-kasten/,13305,0,0,Antiek,Meubels,Kasten
2,1505,,1,antiek-en-kunst,Antiek en Kunst,antiek-meubels-stoelen-en-banken,Antiek | Meubels | Stoelen en Banken,Stoelen en Banken,Antiek | Meubels,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-meubels-stoelen-en-banken/,19490,0,0,Antiek,Meubels,Stoelen en Banken
2,1506,,1,antiek-en-kunst,Antiek en Kunst,antiek-meubels-tafels,Antiek | Meubels | Tafels,Tafels,Antiek | Meubels,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-meubels-tafels/,10806,0,0,Antiek,Meubels,Tafels
2,1101,,1,antiek-en-kunst,Antiek en Kunst,antiek-naaimachines,Antiek | Naaimachines,Naaimachines,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-naaimachines/,2084,0,0,Antiek,Naaimachines,
2,9,,1,antiek-en-kunst,Antiek en Kunst,antiek-overige-antiek,Antiek | Overige Antiek,Overige Antiek,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-overige-antiek/,25106,0,0,Antiek,Overige Antiek,
2,10,,1,antiek-en-kunst,Antiek en Kunst,antiek-porselein,Antiek | Porselein,Porselein,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-porselein/,22759,0,0,Antiek,Porselein,
2,1102,,1,antiek-en-kunst,Antiek en Kunst,antiek-religie,Antiek | Religie,Religie,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-religie/,9692,0,0,Antiek,Religie,
2,1103,,1,antiek-en-kunst,Antiek en Kunst,antiek-schalen,Antiek | Schalen,Schalen,Antiek | Eetgerei,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-schalen/,11236,0,0,Antiek,Schalen,
2,2662,,1,antiek-en-kunst,Antiek en Kunst,antiek-schoolplaten,Antiek | Schoolplaten,Schoolplaten,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-schoolplaten/,3108,0,0,Antiek,Schoolplaten,
2,1843,,1,antiek-en-kunst,Antiek en Kunst,antiek-servies-compleet,Antiek | Servies compleet,Servies compleet,Antiek | Eetgerei,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-servies-compleet/,8262,0,0,Antiek,Servies compleet,
2,12,,1,antiek-en-kunst,Antiek en Kunst,antiek-servies-los,Antiek | Servies los,Servies los,Antiek | Eetgerei,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-servies-los/,21602,0,0,Antiek,Servies los,
2,1507,,1,antiek-en-kunst,Antiek en Kunst,antiek-speelgoed,Antiek | Speelgoed,Speelgoed,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-speelgoed/,12996,0,0,Antiek,Speelgoed,
2,2663,,1,antiek-en-kunst,Antiek en Kunst,antiek-spiegels,Antiek | Spiegels,Spiegels,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-spiegels/,6283,0,0,Antiek,Spiegels,
2,2664,,1,antiek-en-kunst,Antiek en Kunst,antiek-tin,Antiek | Tin,Tin,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-tin/,5299,0,0,Antiek,Tin,
2,11,,1,antiek-en-kunst,Antiek en Kunst,antiek-tv-s-en-audio,Antiek | Tv's en Audio,Tv's en Audio,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-tv-s-en-audio/,1820,0,0,Antiek,Tv's en Audio,
2,14,,1,antiek-en-kunst,Antiek en Kunst,antiek-vazen,Antiek | Vazen,Vazen,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-vazen/,27153,0,0,Antiek,Vazen,
2,1104,,1,antiek-en-kunst,Antiek en Kunst,antiek-wandborden-en-tegels,Antiek | Wandborden en Tegels,Wandborden en Tegels,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-wandborden-en-tegels/,16987,0,0,Antiek,Wandborden en Tegels,
2,1500,,1,antiek-en-kunst,Antiek en Kunst,antiek-woonaccessoires,Antiek | Woonaccessoires,Woonaccessoires,Antiek | Gebruiksvoorwerpen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/antiek-woonaccessoires/,23430,0,0,Antiek,Woonaccessoires,
2,15,,1,antiek-en-kunst,Antiek en Kunst,curiosa-en-brocante,Curiosa en Brocante,,Curiosa en Brocante,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/curiosa-en-brocante/,55303,0,0,Curiosa en Brocante,,
2,23,,1,antiek-en-kunst,Antiek en Kunst,kunst-beelden-en-houtsnijwerken,Kunst | Beelden en Houtsnijwerken,"Beelden, Houtsnijwerken",Kunst,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-beelden-en-houtsnijwerken/,19347,0,0,Kunst,Beelden en Houtsnijwerken,
2,1508,,1,antiek-en-kunst,Antiek en Kunst,kunst-designobjecten,Kunst | Designobjecten,Designobjecten,Kunst,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-designobjecten/,9856,47,47,Kunst,Designobjecten,
2,1105,,1,antiek-en-kunst,Antiek en Kunst,kunst-etsen-en-gravures,Kunst | Etsen en Gravures,Etsen en Gravures,Kunst,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-etsen-en-gravures/,15218,0,0,Kunst,Etsen en Gravures,
2,27,,1,antiek-en-kunst,Antiek en Kunst,kunst-litho-s-en-zeefdrukken,Kunst | Litho's en Zeefdrukken,Litho's en Zeefdrukken,Kunst,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/,9232,28,28,Kunst,Litho's en Zeefdrukken,
2,1844,,1,antiek-en-kunst,Antiek en Kunst,kunst-niet-westerse-kunst,Kunst | Niet-Westerse kunst,Niet-Westerse kunst,Kunst,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-niet-westerse-kunst/,12437,56,56,Kunst,Niet-Westerse kunst,
2,24,,1,antiek-en-kunst,Antiek en Kunst,kunst-overige-kunst,Kunst | Overige Kunst,Overige Kunst,Kunst,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-overige-kunst/,3811,0,0,Kunst,Overige Kunst,
2,1846,,1,antiek-en-kunst,Antiek en Kunst,kunst-schilderijen-abstract,Kunst | Schilderijen | Abstract,Abstract,Kunst | Schilderijen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-schilderijen-abstract/,9815,0,0,Kunst,Schilderijen,Abstract
2,25,,1,antiek-en-kunst,Antiek en Kunst,kunst-schilderijen-klassiek,Kunst | Schilderijen | Klassiek,Klassiek,Kunst | Schilderijen,https://marketplace.apps-pilot.nl/l/antiek-en-kunst/kunst-schilderijen-klassiek/,29097,40,40,Kunst,Schilderijen,Klassiek
